Category,Question#,Title,Detail_lesson,School,CustomInstruction
Psychology,2,LOSS AVERSION EFFECTS,"Daniel Kahneman's research revealed that people feel losses about twice as strongly as equivalent gains. When proposing changes, frame them in terms of what people will lose by not changing rather than what they'll gain by changing. Address anticipated losses explicitly rather than ignoring them.",Daniel Kahneman,Take a change you are proposing and name what people will feel they are losing. Then say how you would address that directly.
Psychology,3,SOCIAL PROOF INFLUENCE,"Robert Cialdini's research on influence showed that people look to others' behavior to determine appropriate actions, especially in uncertain situations. When encouraging adoption of new behaviors, prominently display evidence that others are already doing it successfully. Social proof is more powerful than logical arguments.",Robert Cialdini,Name a behaviour you want adopted and the evidence you could make visible that others are already doing it successfully.
Psychology,4,GROWTH MINDSET POWER,"Carol Dweck's research on mindset revealed that believing abilities can be developed leads to greater achievement than believing abilities are fixed. When giving feedback or facing challenges, focus on effort, strategy, and learning rather than inherent talent or intelligence. Frame setbacks as information rather than judgments.",Carol Dweck,Rewrite a piece of feedback you recently gave so it points at effort and strategy rather than talent.
Psychology,5,PSYCHOLOGICAL SAFETY,"Harvard's Amy Edmondson found that teams perform better when members feel safe to admit mistakes, ask questions, and propose ideas without fear of punishment or embarrassment. Create environments where intellectual risk-taking is rewarded and failure is treated as learning opportunity rather than character flaw.",Amy Edmondson,"Name the last time someone on your team admitted a mistake unprompted. If you cannot, say what that tells you."
Psychology,6,CONFIRMATION BIAS AWARENESS,"Psychologist Peter Wason's research showed that people seek information that confirms their existing beliefs and ignore contradictory evidence. When making important decisions, actively seek out disconfirming evidence and opposing viewpoints. Assign someone to play devil's advocate to counteract natural confirmation bias.",Peter Wason,Take a belief you hold about your work and name the evidence that would change your mind. Then say where you would look for it.
Psychology,7,INTRINSIC MOTIVATION DRIVERS,"Edward Deci's self-determination theory identified autonomy, mastery, and purpose as key motivators. External rewards often undermine intrinsic motivation for creative tasks. Instead of relying primarily on carrots and sticks, focus on giving people choice in how they work, opportunities to develop expertise, and connection to meaningful outcomes.",Edward Deci & Richard Ryan,"Name one place where you rely on rewards or pressure, and what giving people more choice there would look like."
Psychology,8,ANCHORING EFFECT IMPACT,"Amos Tversky's research on anchoring showed that the first number people see heavily influences their subsequent judgments, even when the anchor is completely irrelevant. When negotiating or presenting options, carefully consider what anchors you're setting. The first proposal shapes everything that follows.",Tversky & Kahneman,"Name an anchor you are about to set — a number, a first draft, an opening offer — and what it will do to everything after it."
Psychology,9,HABIT FORMATION LOOPS,"BJ Fogg's behavior model shows that habits form when triggers, ability, and motivation align. To create positive changes, make desired behaviors easier to do, increase motivation through connection to existing values, and create consistent environmental triggers. Small changes in context often produce large behavior changes.",BJ Fogg,Take a habit you want to build and describe the trigger and the smallest possible version of the behaviour.
Psychology,10,EMPATHY GAP UNDERSTANDING,"Psychologist George Loewenstein discovered that people struggle to predict their future emotional states and needs. When people are calm, they underestimate how they'll feel when stressed, and vice versa. Make important decisions when you're in a neutral emotional state, and plan for how your needs might change.",George Loewenstein,"Name a decision you should not make in your current emotional state, and the condition under which you would make it."
Engineering,1,REDUNDANCY AND FAIL-SAFES,"Aerospace engineers build multiple backup systems because single points of failure create catastrophic risks. Identify the critical components in your systems - processes, people, technologies - and create backup options. When something absolutely cannot fail, never rely on a single solution, no matter how reliable it seems.",,"Name the single point of failure in something you rely on — a person, a system, a supplier — and what a viable backup would cost."
Engineering,2,SYSTEM OPTIMIZATION THINKING,"W. Edwards Deming taught that optimising individual components often makes the overall system worse. Before improving any part of a process, understand how it connects to and affects the other parts — output is set by the system's binding constraint, not by its fastest component.",W. Edwards Deming,"Name the constraint that actually limits your system's output, and say whether your current improvement effort is aimed at it."
Engineering,3,ITERATIVE TESTING METHODOLOGY,"Test engineers know that assumptions about how systems will behave in the real world are often wrong. Build in feedback loops and measurement points so you can detect problems early and adjust course. Test early, test often, and test with real conditions rather than ideal laboratory settings.",,"Name an assumption in your current plan that only reality can test, and the earliest point you could test it."
Engineering,4,MARGIN OF SAFETY PRINCIPLES,"Structural engineers design buildings to withstand forces much greater than expected maximum loads. In any system you design, build in buffers for unexpected stresses, whether they're technical, financial, or human. Operating at maximum theoretical capacity leaves no room for the inevitable surprises.",,"Name where you are running at full capacity with no slack, and what happens on the first bad day."
Engineering,5,ROOT CAUSE ANALYSIS,"When engineers investigate failures, they use techniques like 'Five Whys' to find underlying causes rather than just fixing symptoms. When problems occur in your work, resist the urge to quickly patch the immediate issue. Dig deeper to understand why the problem occurred and prevent similar issues in the future.","Taiichi Ohno, Toyota",Take a recent problem and ask why five times out loud. Report the answer you reach at level three or deeper.
Engineering,6,MODULAR DESIGN BENEFITS,"Software engineers use modular design to create systems that are easier to understand, test, and modify. Break complex challenges into smaller, independent components with clear interfaces between them. Changes to one module shouldn't break others, and you should be able to understand each piece in isolation.",,"Take something complicated you own and describe the seam where you would split it in two, and the interface between the halves."
Engineering,7,CONTINUOUS IMPROVEMENT CYCLES,"Manufacturing engineers use techniques like Kaizen to make small, incremental improvements continuously rather than waiting for major overhauls. Establish regular review cycles to identify and implement small improvements. Many small optimizations compound into significant improvements over time.",,"Name one small improvement you could make this week, and the cadence that would make the next twenty happen."
Engineering,8,DOCUMENTATION AND KNOWLEDGE TRANSFER,"Engineers document their designs so others can understand, maintain, and improve them. Create clear documentation of your processes, decisions, and reasoning - not just the final outputs. Future you and other team members will need to understand why things were done certain ways.",,"Name a decision on your team whose reasoning exists only in someone's head, and where it should be written down."
Engineering,9,SCALING AND PERFORMANCE LIMITS,"Computer engineers must understand how systems behave as they grow larger. Solutions that work at small scale often break down as volume increases. When designing processes or systems, consider how they'll perform with 10x or 100x more users, data, or complexity.",,Take a process you run and describe what breaks first at ten times the volume.
Engineering,10,TRADE-OFF ANALYSIS,"Engineers constantly balance competing requirements - cost vs. performance, speed vs. reliability, simplicity vs. features. Make trade-offs explicit rather than hoping you can optimize everything simultaneously. Understand what you're giving up to get what you want, and make sure the trade-off aligns with your priorities.",,"Name a trade-off you have been avoiding making explicit, and state both sides of it in one sentence each."
Film,1,SHOW DON'T TELL PRINCIPLE,"Master filmmaker Akira Kurosawa believed that cinema's power comes from visual storytelling rather than exposition. Instead of explaining what people should think or feel, create experiences that let them draw their own conclusions. This applies to presentations, training, and leadership - demonstrate rather than lecture.",Akira Kurosawa,Take a point you keep having to explain and describe how you would demonstrate it instead.
Film,2,THE POWER OF EDITING,"Editor Walter Murch taught that the magic of film happens in the editing room, where meaning is created through the juxtaposition of images. The way you sequence and connect ideas determines their impact more than the individual pieces. Pay attention to transitions and the flow between concepts, not just the content itself.",Walter Murch,Take a presentation or document you own and name the two ideas whose ordering matters most. Say why.
Film,3,CHARACTER-DRIVEN NARRATIVE,"Screenwriter Robert McKee emphasized that audiences connect with characters, not plots. The most compelling stories emerge from character motivations and conflicts rather than external events. When presenting ideas or leading change, focus on the human stakes and personal impacts rather than abstract benefits.",Robert McKee,Take a change you are advocating for and restate it in terms of one specific person and what it costs them.
Film,4,VISUAL COMPOSITION RULES,"Cinematographer Roger Deakins uses composition techniques like the rule of thirds to guide viewer attention and create emotional impact. How you frame and present information affects how people receive it. Consider the visual and structural composition of your communications, not just the verbal content.",Roger Deakins,Take something you are about to send and describe how you would reframe it so the important part is seen first.
Film,5,COLLABORATIVE CREATIVE PROCESS,"Director Steven Spielberg builds films through collaboration with cinematographers, editors, composers, and actors, trusting each specialist's expertise. Great creative work emerges from bringing together diverse perspectives and skills rather than relying on individual genius. Create environments where different expertise can contribute and build on each other.",Steven Spielberg,"Name a decision you have been making alone that a specialist on your team would make better, and what stops you handing it over."
Film,6,SUBTEXT AND IMPLIED MEANING,Screenwriter Charlie Kaufman crafts dialogue where characters rarely say exactly what they mean. The most powerful communication often happens through implication and subtext rather than direct statement. Pay attention to what's not being said in conversations and meetings - often that's where the real information lies.,Charlie Kaufman,Recall a recent meeting and name what was not said. Then say how you would surface it without ambush.
Film,7,PACING AND RHYTHM,"Editor Hal Ashby understood that the rhythm of cuts and scenes affects audience engagement and emotional response. Even in non-creative contexts, pacing matters - the rhythm of meetings, the flow of presentations, the cadence of project milestones. Vary intensity and give people time to process important information.",Hal Ashby,"Take a recurring meeting or a project plan and describe where the rhythm is wrong — too dense, too flat, no pause."
Film,8,AUTHENTIC EMOTION,"Method acting teacher Lee Strasberg taught actors to draw from genuine emotional experiences to create believable performances. Authenticity resonates more than technical perfection. When communicating or leading, connect with your genuine feelings about the subject rather than just presenting information professionally.",Lee Strasberg,"Name something you present professionally that you actually have a strong feeling about, and how you would let that show."
Film,9,POINT OF VIEW CONSISTENCY,Director Alfred Hitchcock carefully controlled whose perspective the audience experienced to create suspense and empathy. Be intentional about whose viewpoint you're presenting and stay consistent within that frame. Shifting perspectives without clear transitions confuses audiences and weakens impact.,Alfred Hitchcock,Take a story you tell about your work and name whose point of view it is told from. Say whether that is the right one.
Film,10,CONSTRAINT BREEDS CREATIVITY,"Director Robert Rodriguez famously created 'El Mariachi' for $7,000 by embracing limitations and finding creative workarounds. Constraints often spark more innovative solutions than unlimited resources. When facing budget, time, or resource limitations, view them as creative challenges rather than obstacles.",Robert Rodriguez,Name a limitation you are complaining about and one thing it makes possible that unlimited resources would not.
Medicine,1,FIRST DO NO HARM,"The fundamental principle of Hippocratic medicine teaches that avoiding harm is more important than providing benefit. Before implementing any intervention - whether medical, organizational, or technical - carefully consider potential negative consequences. Sometimes the wisest action is to do nothing and observe rather than intervene immediately.",Hippocratic tradition,"Name an intervention you are about to make, and the harm it could do. Then say whether observing for another week is cheaper."
Medicine,2,DIFFERENTIAL DIAGNOSIS THINKING,"Medical training emphasizes considering multiple possible explanations for symptoms rather than jumping to the first plausible diagnosis. When facing problems, generate several potential root causes before settling on a solution. The most obvious explanation isn't always correct, and confirming one possibility doesn't rule out others.",,Take a current problem and write down three plausible causes before you commit to one. Say which you would test first.
Medicine,3,EVIDENCE-BASED PRACTICE,"Modern medicine requires treatments to be supported by rigorous research rather than tradition or intuition. Before adopting new practices or technologies, look for solid evidence of effectiveness. Personal anecdotes and expert opinions are less reliable than systematic studies with control groups.",,"Name a practice you follow because it is customary, and what evidence you would want before continuing it."
Medicine,4,PATIENT-CENTERED CARE,"Good physicians listen to patients' concerns and involve them in treatment decisions rather than simply prescribing solutions. When solving problems for others, start by understanding their perspective, priorities, and constraints. The technically optimal solution may not be the right solution for their specific situation.",,"Name a solution you designed for someone else, and the constraint of theirs you did not ask about."
Medicine,5,SYSTEMATIC EXAMINATION,"Medical diagnosis follows systematic protocols to avoid missing important information. Develop consistent processes for gathering information and analyzing problems rather than relying on ad hoc approaches. Systematic methods catch things that informal approaches miss, especially when you're tired or distracted.",,"Name a judgement you make ad hoc that should follow a checklist, and the three items that would be on it."
Medicine,6,PREVENTIVE INTERVENTION,"Public health emphasizes preventing disease rather than just treating it after it occurs. In any system, identify potential problems early and address root causes rather than waiting for crises. Prevention is usually more effective and less costly than remediation, even though it's less visible and dramatic.",,"Name a crisis you can already see coming, and the cheap preventive step nobody will be thanked for."
Medicine,7,MONITORING AND FOLLOW-UP,"Medical treatment doesn't end with the initial intervention - careful monitoring determines whether treatments are working and catches complications early. After implementing solutions, establish regular check-ins to assess progress and identify emerging issues. Don't assume that good initial results will continue without ongoing attention.",,"Name something you implemented and declared done. What would you check now, and when will you check it?"
Medicine,8,MULTIDISCIPLINARY COLLABORATION,"Complex medical cases require input from specialists in different fields who bring unique perspectives and expertise. When facing complex challenges, actively seek input from people with different backgrounds and specialties. The intersection of different knowledge domains often reveals solutions that no single perspective could find.",,Name a problem you are working on and the discipline outside your own that would see it differently.
Medicine,9,TRIAGE PRIORITIZATION,"Emergency medicine teaches rapid assessment of urgency and severity to allocate limited resources effectively. When managing multiple priorities, systematically assess which issues are most urgent and important rather than addressing them in random order. Not everything that seems urgent actually is, and not everything important is urgent.",,"List what is on your plate and sort it into urgent, important and neither. Say what moves categories once you have written it down."
Medicine,10,CONTINUOUS LEARNING,"Medical knowledge evolves rapidly, requiring physicians to continuously update their understanding and practices throughout their careers. Build learning and skill development into your regular routine rather than assuming your current knowledge will remain sufficient. What you learned initially may become obsolete or be refined by new discoveries.",,"Name a skill that made you effective five years ago and is now depreciating, and what you are doing about it."
Culinary,1,MISE EN PLACE DISCIPLINE,"French culinary tradition teaches that professional cooking begins with mise en place - having everything in its place before you start. Preparation and organization are more important than speed or flair. Before starting any complex project, take time to gather all necessary resources, information, and tools. Rushing into execution without proper preparation creates chaos.",,Name something you are about to start and everything you would need in front of you first. Then say what is missing.
Culinary,2,TASTE AS YOU GO,"Chef Julia Child emphasized that great cooking requires constant tasting and adjustment throughout the process, not just following recipes blindly. When working on any project, build in regular check-points to assess progress and make adjustments. The final result depends on course corrections along the way, not just the initial plan.",Julia Child,"Name a project running now with no checkpoint before the end, and where you would put the first taste."
Culinary,3,FRESH INGREDIENT QUALITY,"Chef Alice Waters revolutionized American cuisine by insisting that great dishes start with the best possible raw ingredients. You cannot overcome poor foundation materials with technique alone. When starting projects, invest time in securing high-quality inputs - whether that's data, team members, or source materials.",Alice Waters,"Name a poor input you are trying to fix downstream with effort — bad data, a rushed brief, the wrong team — and what better inputs would cost."
Culinary,4,KNIFE SKILLS FUNDAMENTALS,"Professional chefs spend enormous time mastering basic knife skills because consistent, precise cuts are the foundation of all cooking. Master the fundamental skills in your field thoroughly before moving to advanced techniques. Sloppy basics undermine everything else you try to build on top of them.",,"Name the fundamental in your field you are weakest at, and the deliberate practice that would fix it."
Culinary,5,SEASONING BALANCE,"Great chefs understand that salt doesn't just make food salty - it enhances and balances all other flavors. In any system or process, identify the elements that don't add their own flavor but make everything else work better. These foundational elements often seem minor but have disproportionate impact on overall success.",,"Name the thing in your system that adds no visible value but makes everything else work, and what happens if it is removed."
Culinary,6,TEMPERATURE CONTROL,"Cooking is largely about controlling temperature and timing. Different ingredients need different heat levels and cooking times to reach their potential. When managing projects or teams, recognize that different components need different types and intensities of attention. One size fits all approaches usually optimize nothing.",,"Name two parts of your current work that need different intensities of attention, and say how you are currently giving both the same."
Culinary,7,KITCHEN BRIGADE SYSTEM,Auguste Escoffier's brigade system assigns specific roles and responsibilities to create efficient collaboration under pressure. Clear role definition and communication protocols become essential when stakes are high and timing is critical. Establish who does what before you're in crisis mode.,Auguste Escoffier,"Name the next high-pressure moment your team will face, and write down who does what before it starts."
Culinary,8,CREATIVITY WITHIN CONSTRAINTS,"Chef Ferran Adrià created revolutionary cuisine by imposing strict limitations and then finding creative solutions within those boundaries. Constraints often spark more innovation than unlimited freedom. When facing creative challenges, try imposing artificial limitations to force novel approaches.",Ferran Adrià,"Impose one hard limit on your current problem — no new headcount, no new tools, one week — and say what it forces you to invent."
Culinary,9,PRESENTATION MATTERS,"Visual presentation affects how food tastes - the same dish plated beautifully will literally taste better to diners. How you present ideas, proposals, and work affects how they're received and evaluated. Invest time in thoughtful presentation, not just content creation.",,"Take work you are proud of that landed badly and describe what you would change about how it was presented, not what it contained."
Culinary,10,LEARNING FROM FAILURE,"Every chef has disasters - burned sauces, collapsed soufflés, oversalted dishes. The key is understanding what went wrong and why so you can avoid repeating mistakes. When things go wrong in your work, resist the urge to quickly move on. Take time to understand the failure mechanism so you can prevent it in the future.",,"Name a recent failure you moved on from quickly, and the mechanism you never went back and understood."
