Category,Question#,Title,QuestionDetail,AnswerDetails,School,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Difficulty
"Innovation History",17,"The Analytical Engine","Who designed the Analytical Engine, the first design for a general-purpose programmable computer?","Charles Babbage, in the 1830s. It was never built in his lifetime; Ada Lovelace wrote the notes describing how it could be programmed.","","Alan Turing","Charles Babbage","John von Neumann","Grace Hopper","OptionB","medium"
"Innovation History",18,"Images in the Browser","Which 1993 browser popularised inline images and kicked off the web's first growth surge?","Mosaic, from NCSA. Its team went on to build Netscape Navigator.","","Internet Explorer","Netscape Navigator","Mosaic","Opera","OptionC","hard"
"Innovation History",19,"The First Microprocessor","Which company shipped the first commercial microprocessor, the 4004?","Intel, in 1971.","","IBM","Intel","AMD","Texas Instruments","OptionB","medium"
"Innovation History",20,"The Bitcoin Paper","In which year was the Bitcoin whitepaper published?","2008. The first block was mined in January 2009.","","2006","2008","2010","2012","OptionB","medium"
"Innovation History",21,"SpaceX","Who founded SpaceX?","Elon Musk, in 2002.","","Jeff Bezos","Richard Branson","Elon Musk","Paul Allen","OptionC","easy"
"Innovation History",22,"A Billion Users","Which platform was the first to reach one billion monthly users?","Facebook, in October 2012.","","MySpace","Twitter","Facebook","Instagram","OptionC","medium"
"Innovation History",23,"The First Email","In which year did Ray Tomlinson send the first networked email, choosing @ to separate user from machine?","1971, on ARPANET.","","1969","1971","1973","1975","OptionB","hard"
"Tech Trends",24,"IoT","What does IoT stand for?","Internet of Things — everyday devices with network connections and, usually, an update problem.","","Internet of Technology","Internet of Things","Integrated Online Technology","Internal Operating Technology","OptionB","easy"
"Tech Trends",25,"Under Bitcoin","Which underlying technology do Bitcoin and similar currencies rely on?","A blockchain: an append-only ledger replicated across many machines.","","Quantum computing","Blockchain","Machine learning","Cloud computing","OptionB","easy"
"Tech Trends",26,"GPT","What does the GPT in ChatGPT stand for?","Generative Pre-trained Transformer. The transformer architecture was published by Google researchers in 2017.","","General Purpose Technology","Generative Pre-trained Transformer","Global Processing Technology","Generative Pattern Technology","OptionB","medium"
"Tech Trends",27,"CI/CD","What does CI/CD stand for?","Continuous Integration and Continuous Delivery, or Deployment. Integrate small changes often; ship them automatically.","","Continuous Integration / Continuous Delivery","Code Integration / Code Delivery","Continuous Improvement / Continuous Development","Central Integration / Central Deployment","OptionA","easy"
"Tech Trends",28,"Closer to the Source","What is the term for processing data near where it is generated rather than in a central region?","Edge computing. It trades centralised control for lower latency and less data in flight.","","Cloud computing","Edge computing","Quantum computing","Distributed computing","OptionB","medium"
"Tech Trends",29,"SaaS","What does SaaS stand for?","Software as a Service — software you rent and access over the network rather than install and own.","","System as a Service","Software as a Service","Security as a Service","Storage as a Service","OptionB","easy"
