Category,Question#,Title,Detail_lesson,School,CustomInstruction
Bias for Action,3,Prompt Issue Resolution,Explain how quickly addressing issues has positively impacted your team's success.,,"Give one incident with a clock on it: how fast you moved, and what the delay would have cost. Numbers if you have them."
Bias for Action,4,Quick Action Culture,Discuss practices your team uses to cultivate a culture of quick action and responsiveness.,,"Name one thing you removed — an approval, a meeting, a sign-off — to make action faster, and what you gave up by removing it."
Bias for Action,5,Balancing Speed and Accuracy,Describe how your team balances the need for speed with ensuring decision accuracy.,,"Give your rule for two-way doors versus one-way doors, with one real example of each."
Bias for Action,6,Taking Calculated Risks,Give an example of taking calculated risks that resulted in significant team benefits.,,"Describe the risk, the downside you were willing to accept, and the mitigation you had ready. A risk with no named downside was not calculated."
Bias for Action,7,Reducing Delays,How has your team actively reduced delays to accelerate project timelines?,,Name the bottleneck you attacked and how you found it. Say how much time came back and how you measured it.
Bias for Action,8,Proactive Initiative,Share a scenario where proactive initiative prevented potential problems.,,"Describe the early signal you acted on before anyone asked, and how you knew it was worth acting on rather than noise."
Bias for Action,9,Immediate Crisis Response,Describe your team's strategy for immediate response during a crisis situation.,,"Walk through the first thirty minutes: who was called, who decided, what was communicated. Preparation shows up there or nowhere."
Bias for Action,10,Accelerating Delivery,Explain how a focus on bias for action helped your team accelerate delivery on critical projects.,,"Name what shipped earlier than it otherwise would have, and the single decision that bought the time."
Customer Obsession,1,Relentless Customer Advocacy,Jeff Bezos famously leaves an empty chair at meetings to symbolize the customer’s presence. How would you incorporate constant customer advocacy in your meetings?,,"Describe the ritual, not the value. What happens in a specific recurring meeting that puts the customer in the room, and who runs it?"
Customer Obsession,2,Inventing for Unspoken Needs,Amazon anticipated customer needs with innovations like Prime. Can you identify an unspoken customer need in your industry and propose an innovative solution?,,Name a need customers never articulated and the behaviour that gave it away. Observation beats survey data here.
Customer Obsession,3,Long-Term Customer Trust,Amazon values long-term customer relationships above short-term profits. Describe a situation where choosing long-term customer trust might outweigh immediate financial gains.,,Describe a trade where you knowingly gave up revenue. Say what it cost and how you justified it internally.
Customer Obsession,4,Prioritizing Customer Satisfaction Over Competition,Amazon prioritizes customer experience even when competitors offer tempting distractions. Share how you would remain focused on customer satisfaction amid competitive pressures.,,"Name a competitor move you deliberately did not match, what you did instead, and how you decided."
Customer Obsession,5,Using Customer Feedback Proactively,Amazon uses customer reviews extensively to improve products proactively. Explain how you can systematically use customer feedback to innovate or improve your team's offerings.,,"Trace one piece of feedback all the way to a shipped change. If you cannot trace one end to end, say where the pipeline breaks."
Customer Obsession,6,Transparent Customer Communication,"Amazon emphasizes transparency with customers, especially during challenges. How would you communicate transparently with customers about a significant service disruption?",,Draft the opening line of the message you would send during a live outage. Tone and first sentence are most of the job.
Customer Obsession,7,Personalized Customer Experience,Amazon personalizes customer interactions based on past behavior. How could your team use existing data to enhance personalization for your customers?,,"Name the data you already hold, the experience it could improve, and the line you would not cross using it."
Customer Obsession,8,Customer-Centric Innovation,Kindle and Alexa exemplify Amazon's customer-driven innovation. Identify a recent innovation you delivered driven primarily by customer needs.,,"Describe what customers were doing before your change and after. If the before and after look the same, choose a different example."
Customer Obsession,9,Rapid Response to Customer Issues,"Amazon responds quickly to issues affecting customers, even if it means internal disruption. How would your team rapidly respond to a critical customer-facing issue?",,"Say what you would stop doing internally to fix it, and who can make that call without escalating."
Customer Obsession,10,Embedding Customer Obsession in Culture,Amazon deeply embeds customer obsession into their company culture. What concrete steps could your team take to make customer obsession more integral to your daily operations?,,"Give one change to a routine — a review, an agenda, a metric on a wall — not a change to the values statement."
Deliver Results,1,Outcome-Oriented Approach,Describe your team's approach to ensuring outcomes consistently align with organizational goals.,,"Name the outcome, the goal it served, and the person who would have noticed if you had missed. Vague alignment is not alignment."
Deliver Results,2,Meeting High Expectations,Provide an example of how your team met or exceeded high expectations despite challenges.,,"Describe the constraint that made it hard, and the specific thing you cut or changed to hit the bar anyway."
Deliver Results,3,Achieving Consistent Results,"Share practices your team employs to achieve consistent, measurable results.",,Name the practice and how long you have sustained it. Consistency claims need a duration attached.
Deliver Results,4,Resilient Execution,Explain how your team demonstrates resilience in execution when facing obstacles.,,"Describe the obstacle and the point where the plan changed. Resilience is visible in the replan, not in the effort."
Deliver Results,5,Measuring Success,Discuss how your team effectively measures and tracks the success of initiatives.,,Give one metric you track weekly and one you deliberately ignore. Say why the ignored one is a trap.
Deliver Results,6,Prioritization Under Pressure,Describe how your team prioritizes actions effectively under pressure to deliver results.,,"Describe how you decide what gets dropped when everything is urgent, and who is told first."
Deliver Results,7,Aligning Actions with Goals,Explain strategies your team uses to ensure actions clearly align with intended goals.,,"Name one goal your team could recite from memory today, and how it got that way."
Deliver Results,8,Recovering from Setbacks,Share an experience of successfully recovering from setbacks and still delivering strong results.,,"Tell what went wrong, what you told stakeholders and when, and what you still delivered. The timing of the message matters as much as the recovery."
Deliver Results,9,Exceeding Objectives,Provide an example of significantly exceeding initial objectives on a critical project.,,"Say by how much you exceeded, and whether the original target was simply set too low. Honest answers to that are rare and valuable."
Deliver Results,10,Focused Execution,Describe how your team maintains a strong focus on execution to ensure timely results.,,"Name the thing you protect the team from so execution stays focused, and what it costs you to hold that line."
Dive Deep,1,Detailed Analysis,Describe an instance where detailed analysis significantly impacted a decision or outcome.,,Describe the specific number or log line that changed the conclusion. Detail without a turning point is just effort.
Dive Deep,2,Root Cause Identification,Provide a scenario where identifying the root cause of an issue prevented future problems.,,"Give the symptom, the cause, and the fix at the level of the cause. Say how you knew you had stopped at the right depth."
Dive Deep,3,Data-Driven Insights,Explain how data-driven insights guided your team to a successful outcome.,,Name the insight the data gave you that intuition had got wrong. Those are the ones worth telling.
Dive Deep,4,Deep Investigations,Share a time when deep investigation led your team to discover critical insights.,,"Describe what you found that nobody was looking for, and what prompted you to keep looking."
Dive Deep,5,Encouraging Detailed Inquiry,Discuss how your team actively encourages detailed inquiry and analysis in decision-making.,,Name the question your team asks by habit that forces people one level deeper.
Dive Deep,6,Precision in Decision Making,Give an example of how precision in decision-making benefited your project significantly.,,"Give an example where being approximately right would have been expensive, and how precisely you needed to get it."
Dive Deep,7,Thorough Problem-Solving,Describe a thorough approach your team took to solve a complex problem effectively.,,"Describe how you broke the problem down. The structure of the decomposition is the answer, not the conclusion."
Dive Deep,8,Managing Complexity,Explain how your team successfully managed complexity by diving deep into issues.,,Name the part of the system you had to understand properly and the part you deliberately treated as a black box.
Dive Deep,9,Comprehensive Understanding,Provide a scenario illustrating your comprehensive understanding leading to better results.,,"Describe what you understood after that you did not before, and what you would have missed by staying at the summary level."
Dive Deep,10,Ensuring Accuracy,Explain how your team ensures accuracy through rigorous and detailed processes.,,"Name one check that runs whether or not anyone is worried, and one that caught something real."
Earn Trust,1,Building Credibility,Describe how your team consistently builds and maintains credibility with stakeholders.,,Name the behaviour that builds credibility in your context and the one that quietly destroys it. Be concrete about both.
Earn Trust,2,Transparency in Challenges,Explain how transparency during challenges enhanced trust among stakeholders.,,"Describe what you disclosed early that you could have delayed, and how it landed at the time."
Earn Trust,3,Consistency in Actions,Provide an example where consistency in your team's actions built lasting trust.,,"Give a commitment your team keeps even when it is inconvenient, and an example of it being inconvenient."
Earn Trust,4,Managing Sensitive Information,Discuss how your team carefully manages sensitive information to uphold trust.,,"Describe the rule you apply to information that is not yours to share, and a moment it was tested."
Earn Trust,5,Demonstrating Integrity,Share a situation that highlighted your team’s integrity in challenging circumstances.,,Tell what the easy option was and why you did not take it. Integrity stories need a real fork in them.
Earn Trust,6,Empathy in Communication,Explain how your team uses empathetic communication to strengthen relationships and trust.,,"Describe a conversation where you changed how you said something because of who was hearing it, and what that changed."
Earn Trust,7,Reliability in Commitments,Give an example where your reliability in fulfilling commitments significantly built trust.,,Name a promise your team is known for keeping. Say what you had to stop promising to make that true.
Earn Trust,8,Handling Mistakes Openly,Describe how openly addressing mistakes has positively impacted stakeholder trust in your team.,,"Describe how you told people about the mistake — who, how fast, in what forum — and what the reaction taught you."
Earn Trust,9,Trust in Team Dynamics,Share strategies your team uses to foster and maintain trust within group dynamics.,,"Give one practice that makes it safe to say 'I do not know' in your team, and how you know it is working."
Earn Trust,10,Maintaining Trust under Pressure,Explain how your team maintains trustworthiness under high-pressure situations.,,"Describe how you behave in the bad week: what you keep doing, what you stop, and what people can still count on."
Frugality,1,Doing More with Less,Share an example of your team achieving more with fewer resources.,,"Name what you did without, and the workaround. Resourcefulness is specific or it is a slogan."
Frugality,2,Cost-Conscious Innovation,Describe a situation where cost-conscious innovation significantly benefited your project.,,"Describe the cheaper path and what it cost in something other than money — time, elegance, optionality."
Frugality,3,Resource Optimization,Explain how your team optimizes available resources effectively.,,Name a resource that was already sitting idle and what you turned it into.
Frugality,4,Effective Budget Management,Provide a strategy you use to manage budgets effectively while delivering quality outcomes.,,Give one budget rule you apply and the request it most often stops.
Frugality,5,Creativity in Constraints,Give an example of how your team used creativity to overcome resource constraints.,,Describe the constraint and the idea it forced. Then say whether you would keep the constraint now that you have the idea.
Frugality,6,Waste Reduction,Discuss concrete steps your team has taken to actively reduce waste.,,Name a piece of work that stopped happening entirely and who noticed. Waste that nobody misses is the good kind.
Frugality,7,Financial Discipline,How does your team demonstrate consistent financial discipline in daily decisions?,,"Give one small recurring spend your team questions and one it does not bother questioning, and why that split is right."
Frugality,8,Leveraging Existing Resources,Share a scenario where leveraging existing resources creatively avoided additional expenses.,,"Describe what you reused instead of built or bought, and the compromise that came with it."
Frugality,9,Efficient Problem Solving,Describe how efficient problem-solving saved your organization significant resources.,,Name the expensive option you avoided and what you did instead. Say how you know the cheaper path actually worked.
Frugality,10,Frugality Mindset,Explain how fostering a frugality mindset improved your team's efficiency and outcomes.,,"Describe how frugality shows up when nobody is watching the budget — a default, a habit, a question people ask."
Have Backbone; Disagree and Commit,1,Constructive Disagreement,Explain how your team encourages and manages constructive disagreements effectively.,,"Describe how a disagreement gets raised in your team: who can start it, where it happens, and how it ends."
Have Backbone; Disagree and Commit,2,Committing after Debate,Describe a situation where your team fully committed to a decision after a thorough debate.,,Name a decision you argued against and then executed properly. Say what you had to stop doing to commit honestly.
Have Backbone; Disagree and Commit,3,Challenging Decisions,Provide an example where challenging a decision led to better outcomes.,,Describe the challenge you made and the evidence you brought. Objection without an alternative rarely moves anything.
Have Backbone; Disagree and Commit,4,Healthy Conflict Management,Discuss your team's strategy for managing healthy conflict productively.,,"Name the point at which a healthy argument becomes an unhealthy one in your team, and who calls it."
Have Backbone; Disagree and Commit,5,Speaking Up Courageously,Share a scenario where courageously speaking up significantly benefited your team.,,"Tell what it cost you to speak up, and what would have happened had you stayed quiet."
Have Backbone; Disagree and Commit,6,Respectful Debate Culture,Describe how your team fosters a respectful yet rigorous debate culture.,,"Give one norm that keeps debate rigorous without making it personal, and how it is enforced."
Have Backbone; Disagree and Commit,7,Standing Firm on Convictions,Explain an instance where standing firm on your convictions led to positive change.,,"Describe the conviction, the pressure to fold, and what changed as a result of holding."
Have Backbone; Disagree and Commit,8,Ensuring Alignment Post-Debate,Provide an example of ensuring team alignment after robust debate and disagreement.,,"Describe how the decision was communicated to people who lost the argument, and what stopped them relitigating it."
Have Backbone; Disagree and Commit,9,Navigating Disagreements,Describe how your team successfully navigated significant disagreements to achieve goals.,,"Name the disagreement and the mechanism that ended it — a decider, a test, a deadline. Say which of those you would use again."
Have Backbone; Disagree and Commit,10,Promoting Open Dialogue,Discuss practices your team uses to consistently promote open and candid dialogue.,,"Give one thing your team does that makes candour cheap, and one thing that makes it expensive."
Hire and Develop the Best,1,Identifying Top Talent,Explain how your hiring practices ensure you consistently attract top talent.,,"Describe the signal in your process that actually predicts performance, and the one you have learned to discount."
Hire and Develop the Best,2,Investing in Development,Describe specific ways your team invests in developing the skills of your best employees.,,"Name a specific investment — hours, budget, a stretch assignment — and what it produced. Training budgets alone are not development."
Hire and Develop the Best,3,Effective Mentoring,Share effective mentoring practices your team employs to develop talent.,,Describe how a mentoring pair is matched and what makes one work. Say what happens when it does not.
Hire and Develop the Best,4,Attracting Great Talent,Discuss strategies your team uses to attract exceptional talent to your organization.,,"Name what genuinely attracts people to your team, in their words rather than the job advert's."
Hire and Develop the Best,5,Growth-Oriented Hiring,Provide an example of hiring an individual who significantly contributed to your team's growth.,,"Describe what that hire changed about how the team works, not just what they delivered."
Hire and Develop the Best,6,Retaining Talent,Explain your approach to retaining top talent within your organization.,,"Name the reason people most often leave, and the one thing you changed because of it."
Hire and Develop the Best,7,Fostering Internal Growth,How does your team proactively foster internal growth opportunities?,,"Describe an internal move that worked, and what the losing manager gave up to let it happen."
Hire and Develop the Best,8,Providing Constructive Feedback,Describe how your team effectively provides constructive feedback to drive development.,,"Give the shape of feedback that people in your team actually act on, and an example that landed badly."
Hire and Develop the Best,9,Succession Planning,Share your approach to succession planning to ensure long-term talent continuity.,,Name the role you would struggle to backfill tomorrow and the concrete step you have taken about that.
Hire and Develop the Best,10,Creating Opportunities for Talent,Give an example of creating or identifying new opportunities specifically to leverage and retain great talent.,,"Describe the opportunity you created rather than waited for, and how you knew someone was ready for it."
Insist on the Highest Standards,1,Setting High Expectations,Describe how you consistently set and uphold high standards within your team.,,Name the standard in a way someone could measure. Then say who is allowed to say the work is not there yet.
Insist on the Highest Standards,2,Continuous Quality Improvement,Provide an example of a continuous improvement practice that significantly raised quality standards.,,"Describe the practice, when it runs, and the measurable difference between before and after."
Insist on the Highest Standards,3,Upholding Excellence,Share a situation where upholding high standards was difficult but essential to success.,,"Describe what you turned down or sent back, and the pressure you took for it."
Insist on the Highest Standards,4,Pushing Beyond Good Enough,Explain your approach to ensuring your team pushes beyond 'good enough' to achieve excellence.,,Name a piece of work you refused to call finished and what the extra pass bought.
Insist on the Highest Standards,5,Standards Enforcement,How do you effectively enforce high standards when facing resistance or challenges?,,Describe the resistance you met and the argument that eventually worked. Authority is the least interesting answer.
Insist on the Highest Standards,6,Quality Assurance,Discuss how your team assures ongoing quality through regular checks and measures.,,"Name the check that runs every time, and one defect it caught that a person would have missed."
Insist on the Highest Standards,7,Holding Teams Accountable,Share your approach to holding team members accountable to consistently high standards.,,Describe how you raise a standards problem with a person you respect. The wording is the hard part.
Insist on the Highest Standards,8,Striving for Perfection,Provide a scenario where striving for perfection notably improved your team's output.,,"Name the last detail that mattered more than it should have, and how you knew to keep going."
Insist on the Highest Standards,9,Managing Compromise,How does your team manage situations where compromise could lower standards?,,"Give the compromise you accepted and the one you refused, and the principle that separated them."
Insist on the Highest Standards,10,Standards-Driven Decisions,Give an example of a decision clearly driven by a commitment to high standards.,,"Describe a decision where the higher standard was the more expensive option, and what tipped it."
Invent and Simplify,1,Simplifying Complexity,"Share an experience where you simplified a complex process, significantly benefiting your customers or team.",,Name the steps you removed and who used to perform them. Simplification is measured in things that no longer exist.
Invent and Simplify,2,Encouraging Innovation,"Describe how you encourage innovation within your team, even when facing resistance.",,Describe the objection you heard most and what you did about it. 'We tried that before' is the usual one.
Invent and Simplify,3,Removing Barriers to Action,Explain how you've identified and removed unnecessary barriers or processes to increase productivity.,,"Name the approval, handoff or document you deleted, and what you put in place of it, if anything."
Invent and Simplify,4,Promoting a Culture of Simplicity,How can your team promote a culture focused on simplicity and continuous improvement?,,"Give one habit that keeps things simple by default, and the pressure that constantly works against it."
Invent and Simplify,5,Continuous Improvement Mindset,"Describe a recent improvement your team made to a product or process, driven by simplicity.",,Describe the improvement and what it replaced. Say how you knew the new version was actually simpler and not just newer.
Invent and Simplify,6,Innovating with Limited Resources,Explain how you've innovated effectively even when resources were limited.,,"Name the constraint and the idea it produced. Then say what you would have built with unlimited budget, and whether it would have been better."
Invent and Simplify,7,Creative Problem Solving,Give an example of a challenging situation where you used creative problem-solving techniques.,,Describe the moment you stopped attacking the problem as stated and changed the question instead.
Invent and Simplify,8,Learning from Failure,"Discuss a time you learned valuable lessons from a failure, applying simplicity principles to future actions.",,"Tell what you tried, why it failed, and the simpler thing you did next. The second attempt is the interesting one."
Invent and Simplify,9,Iterative Innovation,Describe an example of iterative innovation—starting small and improving through continuous iterations.,,Describe version one and version four. Say what you learned between them that you could not have designed in.
Invent and Simplify,10,Simplifying Customer Experiences,"Share how you simplified a customer experience, significantly improving customer satisfaction.",,"Name the number of steps before and after, and the moment in the journey that customers stopped complaining about."
Learn and Be Curious,1,Fostering Continuous Learning,Explain how your team actively fosters continuous learning and curiosity.,,Name one thing your team does that costs real time and exists only for learning. Say what it has produced.
Learn and Be Curious,2,Exploring New Areas,Share a recent instance when your curiosity led you or your team to explore a new area beneficial to your organization.,,"Describe what you went and looked at, and what you did with what you found."
Learn and Be Curious,3,Encouraging Curiosity,Describe strategies you use to encourage curiosity among team members.,,"Give one question you ask that reliably starts an interesting conversation, and one that reliably kills it."
Learn and Be Curious,4,Learning from Diverse Sources,How does your team leverage diverse knowledge sources to broaden perspectives and improve decision-making?,,"Name a source outside your industry that changed how your team thinks, and the specific idea you took from it."
Learn and Be Curious,5,Innovative Problem Exploration,Provide an example of how innovative exploration helped your team solve a complex problem.,,"Describe the wrong turn that turned out to be useful, and what made it worth taking."
Learn and Be Curious,6,Cultivating a Learning Culture,Discuss concrete steps your team has taken to cultivate an organizational culture focused on continuous learning.,,"Name the routine — a demo, a reading group, a rotation — and what it costs. Culture claims need a line item."
Learn and Be Curious,7,Adapting through Learning,Share a scenario where rapid learning helped your team adapt successfully to an unexpected situation.,,"Describe what your team had to learn fast, how long it took, and what you skipped to go that fast."
Learn and Be Curious,8,Seeking Constructive Feedback,Describe a time when you actively sought constructive feedback to enhance your team's performance.,,"Describe how you asked for the feedback, from whom, and the part of it you did not want to hear."
Learn and Be Curious,9,Rapid Knowledge Acquisition,Give an example of when you needed to quickly acquire new knowledge to address a pressing issue.,,"Name what you had to learn, where you went for it, and how you judged whether the source was any good."
Learn and Be Curious,10,Experimentation and Learning,Explain how your team uses experimentation to continuously learn and improve your products or processes.,,"Describe an experiment you ran, what it cost, and the decision it changed. Experiments that changed nothing are also worth reporting."
Ownership,1,Taking Full Responsibility,Amazon expects employees to own outcomes completely. Share a scenario where taking full responsibility led to better results.,,"Describe what you owned that you could reasonably have escalated, and what happened because you did not."
Ownership,2,Going Beyond Job Descriptions,Describe a situation where you took action beyond your formal job role to benefit your team or customers.,,"Name the thing outside your remit that you picked up, and who you told before doing it."
Ownership,3,Acting Like an Owner,Acting like an owner involves proactively identifying problems. Discuss how you'd approach a significant organizational issue as an owner.,,Name the problem nobody owns today and the first thing you would do about it on Monday.
Ownership,4,Proactive Problem Solving,Explain how you would proactively identify and solve problems within your team without waiting for explicit instructions.,,"Describe how you spot a problem early in your area — the signal, the check, the habit — and one it caught."
Ownership,5,Resourcefulness in Constraints,"Discuss how you creatively navigated resource constraints to deliver exceptional results, exemplifying ownership.",,"Name the constraint and the route around it. Then say what you would still not do, even under that pressure."
Ownership,6,Thinking Long-Term,Amazon emphasizes long-term thinking in ownership. Provide an example where prioritizing long-term outcomes guided your decision-making.,,"Describe a decision that cost more now and less later, and how you defended it to whoever was paying now."
Ownership,7,Ensuring Cross-Team Accountability,"Share a strategy for ensuring accountability across multiple teams on shared projects, maintaining ownership.",,"Give the mechanism that makes shared work actually accountable: a name, a date, a forum where it is reviewed."
Ownership,8,Balancing Ownership and Collaboration,Describe a situation where you balanced individual ownership with effective collaboration.,,"Describe where you took the decision yourself and where you deliberately gave it away, and the rule behind that split."
Ownership,9,Decision-Making Autonomy,How do you ensure decision-making autonomy while still aligning with organizational goals?,,"Name the decisions your team makes without asking, and the boundary that makes that safe."
Ownership,10,Driving End-to-End Solutions,"Give an example of how you drove an end-to-end solution, managing both strategy and execution.",,"Describe the whole arc — how it was decided, built and run — and the part you found hardest to stay attached to."
Strive to be Earth’s Best Employer,1,Employee Wellbeing,Discuss specific initiatives your team has implemented to prioritize employee wellbeing.,,"Name one initiative and what changed as a result. Say how you know, beyond people saying they liked it."
Strive to be Earth’s Best Employer,2,Inclusive Work Environment,Explain how your team actively fosters an inclusive and welcoming work environment.,,"Describe a specific practice — how meetings run, how work is assigned, how credit is given — not a statement of intent."
Strive to be Earth’s Best Employer,3,Career Growth Opportunities,Describe opportunities your team provides for career growth and professional development.,,Name a growth opportunity a team member got this year and what made it available to them rather than someone else.
Strive to be Earth’s Best Employer,4,Open Communication Culture,Share how your team maintains open and effective communication with all employees.,,"Describe the channel that surfaces the things people would not say in a meeting, and one thing it surfaced."
Strive to be Earth’s Best Employer,5,Work-Life Balance,Provide examples of practices your team uses to promote a healthy work-life balance.,,Name a practice you protect and the business pressure it regularly loses to. Honesty about that is more useful than a policy list.
Strive to be Earth’s Best Employer,6,Supportive Leadership,Discuss how supportive leadership in your team has positively impacted employees.,,"Describe something a leader did for someone on your team, and what it made possible."
Strive to be Earth’s Best Employer,7,Employee Recognition,Explain your approach to recognizing and celebrating employee achievements.,,Name what your team recognises publicly and what goes unrecognised. The second list says more.
Strive to be Earth’s Best Employer,8,Empowering Teams,Describe practices your team employs to empower individuals and foster autonomy.,,"Describe a decision you handed over completely, and how you resisted taking it back."
Strive to be Earth’s Best Employer,9,Listening to Employee Feedback,Share how you effectively gather and respond to employee feedback to improve workplace satisfaction.,,"Trace one piece of employee feedback to a change people can see. If nothing traced, say what stops it."
Strive to be Earth’s Best Employer,10,Creating Positive Workplaces,Discuss ways your team has proactively created a positive and motivating workplace.,,Name the thing about working on your team that people mention unprompted when they leave.
Success and Scale Bring Broad Responsibility,1,Ethical Growth,Describe how your team integrates ethical considerations into growth and scaling strategies.,,Name a growth option you did not take and the reason. Ethics is legible in the things you declined.
Success and Scale Bring Broad Responsibility,2,Social Responsibility,Share how your team proactively engages in social responsibility initiatives.,,"Describe the commitment, the hours or money behind it, and who benefits. Say how it survives a bad quarter."
Success and Scale Bring Broad Responsibility,3,Environmental Stewardship,Explain how your team prioritizes environmental stewardship as part of operational decisions.,,"Name one operational decision where environmental impact was actually weighed, and what it changed."
Success and Scale Bring Broad Responsibility,4,Community Impact,Provide examples of positive impacts your team has made in your community through responsible growth.,,Describe the impact and how you would know if it were real rather than reported.
Success and Scale Bring Broad Responsibility,5,Responsible Decision Making,Discuss your team's approach to making responsible decisions aligned with long-term sustainability.,,Give the question your team asks before a decision that could affect people outside the company.
Success and Scale Bring Broad Responsibility,6,Long-term Sustainability,Explain practices your team employs to ensure long-term sustainability as it scales.,,"Name something you built to last that would have been faster to build otherwise, and the argument that won."
Success and Scale Bring Broad Responsibility,7,Stakeholder Accountability,Discuss ways your team maintains accountability to diverse stakeholders.,,"Name a stakeholder with no formal power over you, and how they still hold you to account."
Success and Scale Bring Broad Responsibility,8,Corporate Citizenship,Describe your team’s practices that exemplify strong corporate citizenship.,,"Describe a practice you would be comfortable seeing reported accurately in the press, and one you would not."
Success and Scale Bring Broad Responsibility,9,Balancing Growth with Values,Explain how your team effectively balances growth ambitions with maintaining core values.,,"Name the value that costs you growth, and the last time it actually did."
Success and Scale Bring Broad Responsibility,10,Transparent Leadership,Share how transparent leadership practices have positively influenced your team's success and responsibilities.,,"Describe what your leadership shares that it does not have to, and what became easier once it did."
Think Big,1,Visionary Goal Setting,Describe how you have set visionary goals that significantly expanded your team’s aspirations.,,State the goal in one sentence and say what it would take to be wrong about it. Big goals need a falsifiable shape.
Think Big,2,Scaling Ambitions,Give an example of scaling a small idea into a significant organizational initiative.,,Describe the first version and the tenth. Say what made scaling possible rather than just desirable.
Think Big,3,Expanding Boundaries,Explain a situation where your team expanded boundaries to achieve extraordinary outcomes.,,"Name the boundary — a market, a constraint, an assumption — and what you did to test whether it was real."
Think Big,4,Encouraging Bold Ideas,Share practices you use to encourage your team to propose bold and ambitious ideas.,,Describe what happens to a bold idea in your team in its first week. That is the whole answer.
Think Big,5,Breaking Conventional Limits,Discuss an instance where challenging conventional limits led to exceptional results.,,"Name the convention, why it existed, and what you found when you ignored it."
Think Big,6,Innovating with Ambition,Describe how ambitious innovation significantly differentiated your team's outcomes.,,"Describe the ambitious choice and the safer one you rejected, and how the difference showed up in the outcome."
Think Big,7,Long-Term Strategic Thinking,Provide an example where long-term strategic thinking helped your team achieve a substantial goal.,,"Name the decision you would make differently on a three-year horizon than a three-month one, and which you actually took."
Think Big,8,Encouraging Big Thinking,Share your methods for actively encouraging big thinking within your organization.,,"Give the specific prompt, format or forum you use, and one idea that came out of it that you would not have had."
Think Big,9,Ambitious Problem Solving,Describe a significant problem your team solved by adopting an ambitious mindset.,,"Describe how the ambitious framing changed the approach, not just the target."
Think Big,10,Scaling from Small Beginnings,Explain how a small project your team undertook scaled significantly due to ambitious thinking.,,"Name the small thing and what it grew into, and the moment someone decided to bet more on it."
