"Category","Question#","Title","Detail_lesson","School","CustomInstruction","Tags","RoundKind"
"Tough Choices","14","Truman Fires MacArthur at the Height of War","In April 1951, President Truman relieved General Douglas MacArthur — a celebrated war hero — for publicly undermining civilian authority during the Korean War. MacArthur had enormous public support; Truman's approval rating collapsed. He did it anyway to preserve constitutional order.","Professional Development","Is there someone whose results are strong but whose conduct undermines how this team works? What standard would we have to state out loud before we could act on it?","tough-choices|authority|accountability|civil-military|organizational-health","apply"
"No Data","1","Truman Drops the Bomb Without a Playbook","Harry Truman authorized the atomic bombing of Hiroshima in 1945 with no historical precedent and deeply contested estimates on casualties — both from using the bomb and from a land invasion. Advisors disagreed wildly. He made the call in a fog of incomplete, contradictory information.","Professional Development","What decision is our team facing where the data is incomplete or points both ways? What would we need to agree in advance about how to decide, so the call does not default to whoever is loudest?","no-data|uncertainty|wartime|high-stakes","apply"
"No Data","2","Mao's Great Leap Forward Ignores the Numbers","In 1958, Mao Zedong launched the Great Leap Forward, setting steel and grain production targets with no reliable baseline data. Local officials, fearing punishment, reported false surpluses. Mao made policy on fabricated numbers, resulting in a famine that killed tens of millions.","Professional Development","Which numbers does our team act on that nobody has pressure-tested? What would we put in place so bad news reaches us early rather than being smoothed on the way up?","no-data|data-integrity|accountability|catastrophic-failure","apply"
"No Data","3","Shackleton Navigates with Gut and Stars","When Ernest Shackleton's ship Endurance was crushed by Antarctic ice in 1915, he had no radio contact, no rescue timeline, and no map of a safe route. He navigated an 800-mile open-boat journey to South Georgia Island using dead reckoning and celestial navigation — and saved all 27 men.","Professional Development","If our current information went dark tomorrow, what would this team steer by instead? What principles would we want agreed now, while it is calm?","no-data|crisis-leadership|resilience|navigation","apply"
"No Data","4","Hammurabi Codifies Law Where None Existed","Around 1754 BCE, Babylonian King Hammurabi created one of the world's first written legal codes — 282 laws carved in stone. He had no legal precedent to copy and no data on outcomes. He invented a system from observed disputes and declared it universal across a vast, diverse empire.","Professional Development","Where does our team need a rule, standard or policy that does not exist yet? Who would have to accept it as legitimate, and what would make them?","no-data|policy-making|governance|founding","apply"
"No Data","5","Ramanujan's Mentor Backs an Unknown Genius","In 1913, Cambridge mathematician G.H. Hardy received a letter of wild, unproven theorems from an unknown Indian clerk. With almost no formal credentials to evaluate, Hardy trusted his instinct, sponsored Ramanujan's travel, and unlocked one of mathematics' greatest minds.","Professional Development","Whose potential is our team failing to see because the usual evidence is missing? What signals could we start looking at instead, and who would object to us backing them?","no-data|talent-spotting|intuition|mentorship|risk","apply"
"No Data","6","Napoleon Crosses the Alps in Winter","In May 1800, Napoleon led 40,000 troops over the Great St. Bernard Pass — a route deemed impassable in spring — to surprise Austrian forces in Italy. No reliable maps existed for the crossing; he acted on incomplete intelligence and won the Battle of Marengo.","Professional Development","Which route has our team written off as impassable? What would we need to know to attempt it anyway, and what is the real cost of trying?","no-data|strategic-risk|military|boldness|logistics","apply"
"No Data","7","Marie Curie Publishes Findings No One Believes","In 1898, Marie Curie announced the existence of two new elements — polonium and radium — based on indirect evidence from radiation measurements alone. No one had isolated either element. She committed years of brutal labor to prove what the data only hinted at.","Professional Development","What early, unproven signal is worth our team committing to now? What would we have to sustain to reach the proof, and who will lose patience first?","no-data|scientific-method|persistence|evidence|conviction","apply"
"No Data","8","Boudicca Leads a Revolt with No Retreat Plan","In 60 CE, Iceni Queen Boudicca rallied multiple British tribes against Roman occupation after her family was brutalized — with no census of Roman troop strength, no supply chain, and no fallback position. She nearly drove Rome from Britain before the final battle turned.","Professional Development","What is our team waiting on more information for, where waiting is itself the bigger risk? What is the smallest move we could make now to stop losing the option?","no-data|urgency|resistance|risk|mobilization","apply"
"No Data","9","Mansa Musa Floods Cairo's Gold Market","On his 1324 pilgrimage to Mecca, Mali's emperor Mansa Musa gave away so much gold in Cairo that he crashed the regional economy for over a decade. He had no economic model to predict this — he simply acted on generosity and religious duty at a scale no one had attempted.","Professional Development","Where could a generous decision by our team produce effects at a scale we have not modelled? How could we test the second-order consequences before we commit?","no-data|unintended-consequences|scale|resource-allocation|ancient-leadership","apply"
"No Data","10","Fleming Notices What Everyone Else Discards","In 1928, Alexander Fleming returned from vacation to find mold contaminating his petri dishes — a result most researchers would have thrown away. With no data on what the mold could do, he followed curiosity instead of protocol. That observation became penicillin.","Professional Development","What anomaly has our team been routinely explaining away? What would it take for us to treat the next one as a lead rather than noise, and who has the time to chase it?","no-data|curiosity|innovation|scientific-leadership|observation","apply"
"No Data","11","Amundsen Reaches the Pole First by Preparing Alone","Roald Amundsen reached the South Pole in December 1911, weeks ahead of Scott's ill-fated British team. He had no GPS, no weather forecasts, and no prior human data on the route. He survived by obsessive preparation, local knowledge from the Inuit, and relentless contingency planning.","Professional Development","What is our team about to attempt with no precedent to follow? What preparation and what contingencies would we want in place before we start, rather than after?","no-data|exploration|preparation|contingency-planning|endurance","apply"
"No Data","12","Cyrus the Great Frees the Babylonian Captives","When Cyrus of Persia conquered Babylon in 539 BC, he broke from every imperial norm by freeing enslaved peoples and allowing them to return home. He had no model for ruling through tolerance — no empire had tried it at that scale. His Cyrus Cylinder is considered history's first human rights charter.","Professional Development","Where would a people-first approach serve our team better than the standard playbook? What are we risking by trying it, and who would call it naive?","no-data|human-rights|empire-building|tolerance|ancient-leadership","apply"
"Negotiation","1","Kennedy and Khrushchev Pull Back from the Brink","During the 1962 Cuban Missile Crisis, JFK and Khrushchev negotiated in secret back-channels while publicly posturing. Kennedy agreed to quietly remove U.S. missiles from Turkey — a concession never announced. Both leaders gave each other a face-saving exit. The world didn't know how close it came.","Professional Development","Where could our team concede something quietly to unblock an agreement publicly? What would we be willing to trade, and who on the other side needs a face-saving exit?","negotiation|diplomacy|back-channel|face-saving","apply"
"Negotiation","2","Saladin Grants Mercy at the Fall of Jerusalem","When Saladin recaptured Jerusalem in 1187, his generals expected a massacre mirroring the Crusaders' 1099 conquest. Instead, Saladin negotiated safe passage for tens of thousands of Christian civilians. He accepted a ransom far below his leverage. His restraint became a strategic and moral masterstroke.","Professional Development","Where does our team currently hold more leverage than it needs? What would restraint buy us over the next two years, and what would it cost us this quarter?","negotiation|restraint|leverage|moral-courage","apply"
"Negotiation","3","Bismarck Engineers a War to Unite Germany","Otto von Bismarck orchestrated the Franco-Prussian War of 1870 by editing a diplomatic telegram — the Ems Dispatch — to provoke France into declaring war first. He maneuvered multiple kingdoms into a unified German nation by making conflict look like someone else's idea.","Professional Development","Where could our team reframe a decision so others arrive at it themselves? Where is the line between framing a choice honestly and manipulating it?","negotiation|framing|political-strategy|influence","apply"
"Negotiation","4","Zenobia Defies Rome and Builds an Empire","Queen Zenobia of Palmyra expanded her empire across Egypt and Asia Minor in 270 CE, negotiating alliances with kingdoms wary of Rome. When Rome demanded submission, she refused and declared independence. She held off Roman forces for years through a mix of military skill and diplomatic coalition-building.","Professional Development","Which reluctant allies would our team need to take on a larger opponent or obstacle? What could we offer each of them, and what would pull the coalition apart first?","negotiation|coalition-building|defiance|alliance","apply"
"Negotiation","5","Sitting Bull Unites Rival Nations at Little Bighorn","In 1876, Sitting Bull convened Lakota, Cheyenne, and Arapaho peoples — longtime rivals — into a single fighting coalition. His spiritual authority and diplomatic persistence produced the largest gathering of Plains nations in history, defeating Custer's 7th Cavalry.","Professional Development","Which groups that normally compete would our team need to unite behind one goal? What shared threat or prize is real enough to hold them together under pressure?","negotiation|coalition-building|cross-cultural|conflict|unity","apply"
"Negotiation","6","Eleanor Roosevelt Rewrites the UN's Moral Charter","Chairing the UN Human Rights Commission in 1947–48, Eleanor Roosevelt shepherded 58 nations — many with opposing ideologies — toward a single Universal Declaration. She used patience, personal diplomacy, and strategic compromise to get every article across the line.","Professional Development","Where is our team negotiating with people whose VALUES differ, not just their interests? What language could both sides accept without either having to abandon what they believe?","negotiation|diplomacy|values-conflict|consensus-building|global","apply"
"Negotiation","7","Nehru Chooses Nonalignment in a Bipolar World","As Cold War pressure mounted in the 1950s, Jawaharlal Nehru refused to align India with either the US or USSR, co-founding the Non-Aligned Movement. He negotiated aid, respect, and strategic space from both superpowers without formally joining either camp.","Professional Development","Where is our team under pressure to pick a side? What would it take to stay independent without losing the relationships on either side?","negotiation|neutrality|geopolitics|independence|cold-war","apply"
"Negotiation","8","Mandela Negotiates His Own Prison Release","From his Pollsmoor Prison cell in 1985, Nelson Mandela — without ANC authorization — opened secret talks with the apartheid government. He negotiated the terms of his own release and the framework for majority rule, turning captivity into a diplomatic platform.","Professional Development","Where does our team have little formal authority but real moral or strategic standing? How could we use that standing to change a conversation we are not officially part of?","negotiation|leverage|moral-authority|apartheid|power-dynamics","apply"
"Negotiation","9","Nixon Opens China Through Back Channels","In 1972, Richard Nixon — a career anti-communist — secretly negotiated with Mao Zedong's China before any public announcement. National Security Advisor Kissinger made covert trips to Beijing to lay the groundwork. The public announcement stunned the world precisely because no one saw it coming.","Professional Development","Which agreement does our team need where the real work has to happen before anyone is officially at the table? Who would we need to talk to first, and quietly?","negotiation|diplomacy|back-channel|geopolitics|strategy","apply"
"Negotiation","10","Sitting Bull Surrenders to Save His People","After years of armed resistance, Sitting Bull surrendered to U.S. authorities in 1881 — not from defeat, but to stop the starvation of his people in Canada. He negotiated terms, insisted on dignity, and walked in on his own timeline. It was capitulation as a form of leadership.","Professional Development","What would our team have to give up to protect the thing that actually matters? How do we make that concession on our own terms rather than under duress?","negotiation|sacrifice|indigenous-leadership|survival|tough-choices","apply"
"Negotiation","11","Richelieu Builds France by Dividing Its Enemies","Cardinal Richelieu, chief minister to Louis XIII in the 1620s–40s, transformed France into Europe's dominant power not through military conquest alone, but by funding France's enemies' enemies. He negotiated alliances with Protestant states despite being a Catholic cardinal — ideology was secondary to outcome.","Professional Development","Which internal preference should our team set aside to build an alliance that serves a bigger goal? What would that pragmatism cost us with our own people?","negotiation|realpolitik|alliance-building|strategy|diplomacy","apply"
"Negotiation","12","Gandhi Negotiates Salt as a Symbol","In 1930, Gandhi chose salt — a mundane commodity — as the fulcrum of India's independence movement. The 240-mile Salt March forced the British into a negotiation they hadn't anticipated over something they couldn't easily dismiss. He turned a tax into a moral argument the world could see.","Professional Development","What small, concrete, undeniable thing could our team use to make a large abstract argument? What would we choose as the lever, and why would people outside our team understand it?","negotiation|reframing|civil-resistance|symbolism|moral-leadership","apply"
"New territory","1","Meiji Emperor Dismantles a Thousand Years of Tradition","In 1868, Japan's Emperor Meiji inherited a feudal nation facing Western colonization. He abolished the samurai class, sent thousands abroad to study foreign systems, and rebuilt Japan's military, legal, and industrial infrastructure in a single generation. No nation had modernized that fast by deliberate design.","Professional Development","Which long-standing process or structure does our team need to dismantle before it can move? Who benefits from it today, and how would we bring them with us?","new-territory|transformation|modernization|change-management","apply"
"New territory","2","Lee Kuan Yew Builds a Nation from Scratch","When Singapore was expelled from Malaysia in 1965, Lee Kuan Yew wept publicly — then got to work. With no natural resources, no army, and a fractious multiethnic population, he built one of the world's most prosperous nations in 30 years through pragmatic, sometimes authoritarian policy.","Professional Development","If our team had to rebuild what it does from almost nothing, what would we keep? What principles would we want to fix first, before anything else got decided?","new-territory|nation-building|pragmatism|founding","apply"
"New territory","3","Isabella Funds a Voyage to an Unknown World","Queen Isabella of Castile backed Columbus in 1492 after Portugal had already rejected him. She had no map of where he was going and no guarantee of return. She negotiated her own terms — titles and a share of discoveries — before signing. The investment reshaped the global order.","Professional Development","Where should our team invest without a clear map of success? How could we structure the bet so a failure is survivable and a success is ours?","new-territory|risk-tolerance|exploration|sponsorship","apply"
"New territory","4","Gorbachev Lets the Wall Fall Without a Shot","In 1989, Mikhail Gorbachev chose not to send Soviet tanks to defend the Berlin Wall — breaking with every precedent of Soviet leadership. He had no model for how to dismantle an empire peacefully. His restraint changed the map of Europe overnight.","Professional Development","What is our team holding together that it should let end? What would non-intervention actually look like, and what are we afraid would happen?","new-territory|restraint|systemic-change|letting-go","apply"
"New territory","5","Hatshepsut Rules as King, Not Queen","Hatshepsut, regent for her young stepson in 1473 BCE, declared herself Pharaoh — donning the double crown and false beard in a role no woman had formally held. She governed Egypt for over 20 years, commissioning trade expeditions and monumental architecture.","Professional Development","Which role on our team has no template for the person about to step into it? What would we need to invent or rewrite so they are not improvising alone?","new-territory|gender-barriers|role-definition|legacy|identity","apply"
"New territory","6","Sojourner Truth Speaks Without a Script","At the 1851 Women's Rights Convention in Akron, Sojourner Truth — formerly enslaved, self-educated — delivered an unplanned speech that reframed the entire debate around race and gender. She had no platform, no invitation, and no precedent. She made the moment anyway.","Professional Development","Who has something to say to our team but no standing to say it? What would we change so that contribution reaches the room without them having to force it?","new-territory|moral-courage|voice|inclusion|improvisation","apply"
"New territory","7","Nkrumah Declares Independence Without a Safety Net","Kwame Nkrumah led Ghana to independence in 1957 — the first sub-Saharan African nation to break from colonial rule — with no established civil service, no reserve currency, and no regional model to follow. He built institutions from near-zero while the world watched.","Professional Development","What does our team need to build from near-zero, with no infrastructure to lean on? What would we prioritise first, and what are we prepared to leave rough?","new-territory|nation-building|institution-building|africa|independence","apply"
"New territory","8","Catherine the Great Modernizes a Resistant Empire","Catherine II arrived in Russia as a foreign-born outsider with no legal claim to power. After seizing the throne in 1762, she introduced Enlightenment reforms — legal, educational, and administrative — into a deeply conservative empire that resisted every step.","Professional Development","What change does our team need to introduce where everyone has an incentive to stay still? What would move people who are not persuaded by the argument alone?","new-territory|change-management|reform|resistance|outsider-leadership","apply"
"New territory","9","Mustafa Kemal Abolishes the Caliphate","In 1924, Atatürk abolished the Ottoman Caliphate — an institution over 1,300 years old — and began building a secular Turkish republic from scratch. There was no template for dismantling a religious empire and replacing it with a modern democracy. He rewrote law, alphabet, and dress code simultaneously.","Professional Development","What would our team have to dismantle before the new thing can exist? How would we carry people through the gap when the old is gone and the new is not working yet?","new-territory|transformation|secularism|nation-building|institutional-change","apply"
"New territory","10","Ada Lovelace Programs a Machine Not Yet Built","In 1843, Ada Lovelace wrote the first algorithm intended for Charles Babbage's Analytical Engine — a computer that didn't yet exist. She conceived of a machine's potential beyond its inventor's own vision. She was writing instructions for a future nobody could see.","Professional Development","What should our team be designing for a capability we do not have yet? Which assumptions would we be making, and how could we test them cheaply now?","new-territory|innovation|visionary-thinking|technology|pioneering","apply"
"New territory","11","Simón Bolívar Liberates Six Nations Without a Map","Simón Bolívar led the liberation of six South American nations between 1810 and 1825, often crossing terrain — including the Andes in winter — that military doctrine said was impassable. He was inventing revolutionary governance while still fighting the war. There was no model for what came after victory.","Professional Development","Where is our team building the next phase while still delivering the current one? How do we keep people focused when the destination keeps moving?","new-territory|revolution|nation-building|ambiguity|military-leadership","apply"
"New territory","12","Wangari Maathai Plants Trees as Political Acts","In 1977, Wangari Maathai founded the Green Belt Movement in Kenya, connecting environmental restoration to women's rights and democracy — three causes no one had linked before. Governments mocked her; she was arrested multiple times. She eventually won the Nobel Peace Prize in 2004.","Professional Development","What two problems is our team treating as separate that might actually be one? If we made that connection, who would need convincing — and what would convince them?","new-territory|grassroots-leadership|innovation|environmental|moral-leadership","apply"
