Category,Question#,Title,Detail_lesson,School,CustomInstruction
"Hire and Develop the Best","3","Describe a situation where you had to coach an underperforming team member","Interviewer: Describe a situation where you had to coach an underperforming team member.

Candidate: Well, there was this junior developer who wasn't meeting deadlines.

Interviewer: What specific actions did you take?

Candidate: I just told them to work faster and meet their deadlines. Eventually they left the team.

Interviewer: Were there any other approaches you considered?

Candidate: Not really, some people just aren't cut out for the job.","Professional Development","Evaluate candidate's leadership approach, empathy, and development mindset"
"Hire and Develop the Best","4","Describe a time when you helped improve a team member's performance","Interviewer: Tell me more about the situation.

Candidate: Well, there was this junior developer who was struggling. I just told them to read the documentation and figure it out themselves. They eventually quit.

Interviewer: How did you measure their progress?

Candidate: I didn't really track anything specific. I just knew they weren't doing well.

Interviewer: What would you do differently now?

Candidate: Maybe spend more time helping them.","Professional Development","Look for: Mentorship approach, specific metrics, long-term impact"
"Customer Obsession","1","Describe a time when you used customer feedback to drive a technical change","Interviewer: Describe a time when you used customer feedback to drive a technical change.

Candidate: Um, customers were complaining about our app being slow. So we made some changes to make it faster.

Interviewer: What specific changes did you implement?

Candidate: We optimized some database queries and added caching.

Interviewer: How did you measure the impact?

Candidate: The customers stopped complaining as much.","Professional Development","Evaluate customer focus, problem-solving approach, and impact measurement"
"Customer Obsession","2","Tell me about a time when you had to make a technical decision that impacted customers directly","Interviewer: Can you share a specific example?

Candidate: Last year, we needed to migrate our authentication system. I pushed to do it gradually over weekends instead of a big bang approach. We monitored customer support tickets and saw only 0.1% increase in login issues, compared to projected 5%. The migration completed with minimal customer impact.

Interviewer: How did you decide on that approach?

Candidate: Well, I just thought weekends would be better for users.

Interviewer: What metrics did you use to validate success?

Candidate: Mainly looked at support tickets and system logs.","Technical Leadership","Look for data-driven decision making and customer impact measurement"
"Customer Obsession","3","Tell me about a time you had to make a technical decision that impacted customers directly","Interviewer: Tell me about a time you had to make a technical decision that impacted customers directly.

Candidate: Last year, we needed to migrate our authentication system. I led the initiative to move from our legacy system to OAuth2.

Interviewer: Walk me through your decision process.

Candidate: The legacy system was causing 2% of users to experience login failures. I gathered data showing customer support tickets had increased 40% due to authentication issues. I evaluated three solutions: patching existing system, building custom auth, or implementing OAuth2. After analyzing costs, security implications, and implementation time, OAuth2 emerged as best option. Migration impacted 2M users but reduced login failures to 0.1%.

Interviewer: How did you handle the migration?

Candidate: Created detailed rollback plan, implemented dark launch capability, and migrated users in 10% increments. Monitored error rates and support tickets throughout. Completed migration two weeks ahead of schedule.","Professional Development","Evaluate candidate's customer focus, data-driven decision making, and technical depth"
"Think Big","1","Share an example of when you proposed and implemented a significant architectural change","Interviewer: What was the motivation?

Candidate: I proposed moving from monolith to microservices. Created POC, documented trade-offs, and presented TCO analysis showing 45% cost reduction over 3 years. Led implementation across 5 teams, resulting in 60% faster deployments and 30% improved availability.

Interviewer: How did you get buy-in?

Candidate: Showed the benefits to management and teams.

Interviewer: What were the risks and how did you mitigate them?

Candidate: We did gradual migration to reduce risks.","System Design","Look for strategic thinking and execution at scale"
"Think Big","2","Share an example of how you've helped shape the technical direction of your organization","Interviewer: Share an example of how you've helped shape the technical direction of your organization.

Candidate: I proposed and led our migration to microservices architecture. Analyzed system bottlenecks, created 5-year scalability projection showing current monolith would limit growth. Developed POC, presented TCO analysis to leadership showing 40% cost reduction. Now leading phased implementation across 12 teams.

Interviewer: What challenges did you encounter?

Candidate: Initial resistance from teams comfortable with monolith. Created training program, held architecture workshops, measured and shared performance improvements. 90% team buy-in achieved within 6 months.","Professional Development","Evaluate candidate's strategic thinking, influence, and technical vision"
"Learn and Be Curious","1","Tell me about a time you learned a new technology to solve a problem","Interviewer: What was the context?

Candidate: We needed real-time analytics but our SQL solution wasn't scaling. I researched stream processing, learned Apache Kafka, built a prototype, and led the team in implementation. Result was 99.9% real-time data availability vs previous 85%.

Interviewer: How did you choose Kafka?

Candidate: It seemed popular and had good documentation.

Interviewer: What alternatives did you consider?

Candidate: Didn't really look at alternatives.","Technical Learning","Evaluate learning approach and technical decision making"
"Learn and Be Curious","2","Describe a new technology you've recently learned and applied to your work","Interviewer: Describe a new technology you've recently learned and applied to your work.

Candidate: I heard Kubernetes is popular so I watched some YouTube videos.

Interviewer: How did you apply this learning?

Candidate: Haven't really used it yet, but might someday.

Interviewer: What specific aspects interested you?

Candidate: Just seemed like something good to know about.","Professional Development","Evaluate candidate's learning mindset, initiative, and practical application of knowledge"
"Learn and be Curious","1","Share an example of when you had to learn something new quickly","Interviewer: What was the situation?

Candidate: Our team needed to implement machine learning for fraud detection. I had no ML experience but volunteered to lead it. I completed Andrew Ng's course in 2 weeks, built 3 proof-of-concepts, and consulted with 2 ML experts. Within 6 weeks, we had a working model with 92% accuracy.

Interviewer: How did you validate your learning?

Candidate: I documented my learning process and created a knowledge base for the team. I also mentored 2 team members on ML basics.","Professional Development","Look for: Learning strategy, knowledge sharing, practical application"
