Category,Question#,Title,QuestionDetail,AnswerDetails,School,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Difficulty,Tags
"Toys, Fads & Fashion",84,Swatch watches came from which country?,,"Swiss watchmaking was being wiped out by cheap Japanese quartz, so the answer was a plastic watch built from about fifty parts instead of the usual hundred-plus, sealed shut and never meant to be repaired. Selling watches as fashion is what saved the industry.",,France,Italy,Japan,Switzerland,OptionD,easy,
"Toys, Fads & Fashion",85,Which TV show made pastel jackets over T-shirts the look of 1985?,,"The production had a standing rule against earth tones because they photographed badly against the pink and blue palette, and it spent more on wardrobe and music than most dramas spent on everything. Menswear sales followed it slavishly.",,Magnum P.I.,Miami Vice,Moonlighting,Hill Street Blues,OptionB,medium,
"Toys, Fads & Fashion",86,Whose 1982 home workout tape launched the leotard-and-legwarmers fitness craze?,,"It became the best-selling home video of its era and, just as importantly, gave people a reason to own a VCR that was not renting films. Plenty of machines were bought for that single tape.",,Jane Fonda,Olivia Newton-John,Richard Simmons,Cher,OptionA,easy,
"Toys, Fads & Fashion",87,Which company produced the Garbage Pail Kids sticker cards?,,"The concept was co-created by Art Spiegelman, then working at the card company, who would later win a Pulitzer for the graphic novel Maus. Schools banned the stickers, and the ban is exactly what made them irresistible.",,Topps,Fleer,Marvel,Hallmark,OptionA,hard,
Quarters & Cartridges,88,What was Pac-Man originally called in Japan?,,"The name came from the Japanese sound for chomping, and the character's shape came from a pizza with a slice taken out, according to its designer. It was renamed for America because that P on an arcade cabinet was one marker pen away from a problem.",,Paku Man,Power Man,Dot Man,Puck Man,OptionD,medium,
Quarters & Cartridges,89,"Pac-Man's ghosts are Blinky, Pinky, Inky and who?",,"Each ghost was given a different chase routine on purpose so the maze never felt random: one hunts you directly, one aims at where you are heading, and one simply wanders. Clyde is the one that loses interest and heads for the corner.",,Sue,Clyde,Winky,Dinky,OptionB,medium,
Quarters & Cartridges,90,"In Donkey Kong, what was the hero originally called?",,"He wore a cap because hair was hard to animate at that resolution and a moustache because a mouth would not read on screen at all. He got the name Mario later, reportedly from the landlord of Nintendo's American warehouse.",,Mario,Luigi,Jumpman,Ropeman,OptionC,medium,
Quarters & Cartridges,91,The Atari 2600 was originally sold under what name?,,"VCS stood for Video Computer System, and 2600 was just an internal part number until Atari needed to tell it apart from a newer machine. Its enormous library existed because it was built around swappable cartridges rather than games baked into the hardware.",,Atari VCS,Atari Pong,Atari Home Arcade,Atari 800,OptionA,hard,
Quarters & Cartridges,92,Atari buried its unsold E.T. cartridges in a landfill in which state?,,"The game was reportedly written in about five weeks to make Christmas, and it became the emblem of the whole 1983 collapse. For thirty years people insisted the burial was an urban legend, until a 2014 dig pulled the cartridges back out of the desert.",,Nevada,Arizona,New Mexico,Utah,OptionC,medium,
Quarters & Cartridges,93,In which year did the North American video game business crash?,,"Anyone could make a cartridge for the leading console, so shops drowned in unlicensed junk that customers could not tell apart from the good stuff. Nintendo's answer two years later was a lockout chip that decided what was allowed to run at all.",,1981,1983,1985,1987,OptionB,easy,
Quarters & Cartridges,94,In which year did Nintendo first test-launch the NES in New York?,,"Retailers had been so badly burned by the crash that Nintendo avoided the words video game entirely: it was sold as an entertainment system, came with a toy robot in the box, and Nintendo offered to buy back anything that did not sell.",,1983,1989,1987,1985,OptionD,easy,
Quarters & Cartridges,95,Who led the design of Nintendo's Game Boy?,,"He worked to a philosophy he called lateral thinking with withered technology: take cheap, proven, obsolete parts and use them in a clever new way. The grey-green screen looked feeble beside its colour rivals and outlasted every one of them on a set of AA batteries.",,Shigeru Miyamoto,Gunpei Yokoi,Satoru Iwata,Hiroshi Yamauchi,OptionB,hard,
